date,date_start_time_et,away_team,away_pts,home_team,home_pts,box_score,OT,Notes
Sat Nov 18 2017,7:00 pm,Los Angeles Clippers,,Charlotte Hornets,,,,
Sat Nov 18 2017,9:00 pm,Milwaukee Bucks,,Dallas Mavericks,,,,
Sat Nov 18 2017,8:00 pm,Houston Rockets,,Memphis Grizzlies,,,,
Sat Nov 18 2017,7:00 pm,Utah Jazz,,Orlando Magic,,,,
Sat Nov 18 2017,7:30 pm,Golden State Warriors,,Philadelphia 76ers,,,,
Sat Nov 18 2017,10:00 pm,Sacramento Kings,,Portland Trail Blazers,,,,
Sun Nov 19 2017,6:00 pm,Golden State Warriors,,Brooklyn Nets,,,,
Sun Nov 19 2017,9:30 pm,Denver Nuggets,,Los Angeles Lakers,,,,
Sun Nov 19 2017,3:30 pm,Indiana Pacers,,Miami Heat,,,,
Sun Nov 19 2017,7:00 pm,Detroit Pistons,,Minnesota Timberwolves,,,,
Sun Nov 19 2017,8:00 pm,Chicago Bulls,,Phoenix Suns,,,,
Sun Nov 19 2017,6:00 pm,Washington Wizards,,Toronto Raptors,,,,
Mon Nov 20 2017,7:00 pm,Minnesota Timberwolves,,Charlotte Hornets,,,,
Mon Nov 20 2017,8:30 pm,Boston Celtics,,Dallas Mavericks,,,,
Mon Nov 20 2017,7:00 pm,Cleveland Cavaliers,,Detroit Pistons,,,,
Mon Nov 20 2017,8:00 pm,Portland Trail Blazers,,Memphis Grizzlies,,,,
Mon Nov 20 2017,8:00 pm,Washington Wizards,,Milwaukee Bucks,,,,
Mon Nov 20 2017,8:00 pm,Oklahoma City Thunder,,New Orleans Pelicans,,,,
Mon Nov 20 2017,7:30 pm,Los Angeles Clippers,,New York Knicks,,,,
Mon Nov 20 2017,7:00 pm,Indiana Pacers,,Orlando Magic,,,,
Mon Nov 20 2017,7:00 pm,Utah Jazz,,Philadelphia 76ers,,,,
Mon Nov 20 2017,10:00 pm,Denver Nuggets,,Sacramento Kings,,,,
Mon Nov 20 2017,8:30 pm,Atlanta Hawks,,San Antonio Spurs,,,,
Tue Nov 21 2017,10:30 pm,Chicago Bulls,,Los Angeles Lakers,,,,
Wed Nov 22 2017,7:30 pm,Los Angeles Clippers,,Atlanta Hawks,,,,
Wed Nov 22 2017,7:00 pm,Washington Wizards,,Charlotte Hornets,,,,
Wed Nov 22 2017,7:00 pm,Brooklyn Nets,,Cleveland Cavaliers,,,,
Wed Nov 22 2017,8:00 pm,Denver Nuggets,,Houston Rockets,,,,
Wed Nov 22 2017,8:00 pm,Dallas Mavericks,,Memphis Grizzlies,,,,
Wed Nov 22 2017,7:30 pm,Boston Celtics,,Miami Heat,,,,
Wed Nov 22 2017,8:00 pm,Orlando Magic,,Minnesota Timberwolves,,,,
Wed Nov 22 2017,8:00 pm,San Antonio Spurs,,New Orleans Pelicans,,,,
Wed Nov 22 2017,7:30 pm,Toronto Raptors,,New York Knicks,,,,
Wed Nov 22 2017,8:00 pm,Golden State Warriors,,Oklahoma City Thunder,,,,
Wed Nov 22 2017,7:00 pm,Portland Trail Blazers,,Philadelphia 76ers,,,,
Wed Nov 22 2017,9:00 pm,Milwaukee Bucks,,Phoenix Suns,,,,
Wed Nov 22 2017,10:30 pm,Los Angeles Lakers,,Sacramento Kings,,,,
Wed Nov 22 2017,9:00 pm,Chicago Bulls,,Utah Jazz,,,,
Fri Nov 24 2017,7:30 pm,New York Knicks,,Atlanta Hawks,,,,
Fri Nov 24 2017,7:30 pm,Orlando Magic,,Boston Celtics,,,,
Fri Nov 24 2017,12:00 pm,Portland Trail Blazers,,Brooklyn Nets,,,,
Fri Nov 24 2017,8:00 pm,Charlotte Hornets,,Cleveland Cavaliers,,,,
Fri Nov 24 2017,9:00 pm,Memphis Grizzlies,,Denver Nuggets,,,,
Fri Nov 24 2017,10:30 pm,Chicago Bulls,,Golden State Warriors,,,,
Fri Nov 24 2017,8:00 pm,Toronto Raptors,,Indiana Pacers,,,,
Fri Nov 24 2017,8:00 pm,Miami Heat,,Minnesota Timberwolves,,,,
Fri Nov 24 2017,8:00 pm,Detroit Pistons,,Oklahoma City Thunder,,,,
Fri Nov 24 2017,9:00 pm,New Orleans Pelicans,,Phoenix Suns,,,,
Sat Nov 25 2017,7:30 pm,Toronto Raptors,,Atlanta Hawks,,,,
Sat Nov 25 2017,7:00 pm,San Antonio Spurs,,Charlotte Hornets,,,,
Sat Nov 25 2017,8:30 pm,Oklahoma City Thunder,,Dallas Mavericks,,,,
Sat Nov 25 2017,8:30 pm,New Orleans Pelicans,,Golden State Warriors,,,,
Sat Nov 25 2017,8:00 pm,New York Knicks,,Houston Rockets,,,,
Sat Nov 25 2017,8:00 pm,Boston Celtics,,Indiana Pacers,,,,
Sat Nov 25 2017,7:00 pm,Orlando Magic,,Philadelphia 76ers,,,,
Sat Nov 25 2017,10:00 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Sat Nov 25 2017,9:00 pm,Milwaukee Bucks,,Utah Jazz,,,,
Sat Nov 25 2017,7:00 pm,Portland Trail Blazers,,Washington Wizards,,,,
Sun Nov 26 2017,3:30 pm,Miami Heat,,Chicago Bulls,,,,
Sun Nov 26 2017,6:00 pm,Brooklyn Nets,,Memphis Grizzlies,,,,
Sun Nov 26 2017,3:30 pm,Phoenix Suns,,Minnesota Timberwolves,,,,
Mon Nov 27 2017,7:30 pm,Detroit Pistons,,Boston Celtics,,,,
Mon Nov 27 2017,10:30 pm,Sacramento Kings,,Golden State Warriors,,,,
Mon Nov 27 2017,8:00 pm,Brooklyn Nets,,Houston Rockets,,,,
Mon Nov 27 2017,7:00 pm,Orlando Magic,,Indiana Pacers,,,,
Mon Nov 27 2017,10:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Mon Nov 27 2017,7:30 pm,Portland Trail Blazers,,New York Knicks,,,,
Mon Nov 27 2017,7:00 pm,Cleveland Cavaliers,,Philadelphia 76ers,,,,
Mon Nov 27 2017,8:30 pm,Dallas Mavericks,,San Antonio Spurs,,,,
Tue Nov 28 2017,8:00 pm,Phoenix Suns,,Chicago Bulls,,,,
Tue Nov 28 2017,7:00 pm,Miami Heat,,Cleveland Cavaliers,,,,
Tue Nov 28 2017,8:00 pm,Washington Wizards,,Minnesota Timberwolves,,,,
Tue Nov 28 2017,10:00 pm,Milwaukee Bucks,,Sacramento Kings,,,,
Tue Nov 28 2017,10:00 pm,Denver Nuggets,,Utah Jazz,,,,
Wed Nov 29 2017,8:30 pm,Brooklyn Nets,,Dallas Mavericks,,,,
Wed Nov 29 2017,7:00 pm,Phoenix Suns,,Detroit Pistons,,,,
Wed Nov 29 2017,8:00 pm,Indiana Pacers,,Houston Rockets,,,,
Wed Nov 29 2017,10:30 pm,Golden State Warriors,,Los Angeles Lakers,,,,
Wed Nov 29 2017,8:00 pm,Minnesota Timberwolves,,New Orleans Pelicans,,,,
Wed Nov 29 2017,7:30 pm,Miami Heat,,New York Knicks,,,,
Wed Nov 29 2017,7:00 pm,Oklahoma City Thunder,,Orlando Magic,,,,
Wed Nov 29 2017,7:00 pm,Washington Wizards,,Philadelphia 76ers,,,,
Wed Nov 29 2017,8:30 pm,Memphis Grizzlies,,San Antonio Spurs,,,,
Wed Nov 29 2017,7:30 pm,Charlotte Hornets,,Toronto Raptors,,,,
Thu Nov 30 2017,7:30 pm,Cleveland Cavaliers,,Atlanta Hawks,,,,
Thu Nov 30 2017,7:30 pm,Philadelphia 76ers,,Boston Celtics,,,,
